,MC_frame,rmf_frame_index,Total_Score,CR_rpb2.0,CR_rpb1.0,EV_sum,XLs_sum,XLs_psi_sum,traj,rmf3_file,CR_sum,half
8950,8950.0,7021.0,41.7022652906,3.94092581002,1.77857788324,20.4612557718,15.521505825600002,-33.2151612494,run_102,output//rmfs//1.rmf3,5.71950369326,B
8951,8951.0,7022.0,49.2401924156,8.2125393492,2.17430657176,25.3009571335,13.552389361100001,-31.115020806,run_102,output//rmfs//1.rmf3,10.386845920959999,B
8952,8952.0,7023.0,31.3282823746,2.31906334744,1.90072288164,15.0291512424,12.0793449031,-34.6978202361,run_102,output//rmfs//1.rmf3,4.21978622908,B
8953,8953.0,7024.0,32.9624595539,1.22565104725,3.80689583212,14.5147260997,13.415186574800003,-34.6978202361,run_102,output//rmfs//1.rmf3,5.03254687937,B
8954,8954.0,7025.0,33.3839651345,2.29275980645,2.04290724267,15.4491498348,13.5991482507,-31.8651464005,run_102,output//rmfs//1.rmf3,4.33566704912,B
8955,8955.0,7026.0,33.1255362528,0.334139759144,1.01122087554,15.7141798904,16.0659957278,-33.3669078674,run_102,output//rmfs//1.rmf3,1.3453606346840001,B
8956,8956.0,7027.0,40.2659538574,1.64197630693,4.11406230693,17.5742250278,16.9356902157,-32.2697658689,run_102,output//rmfs//1.rmf3,5.75603861386,B
8957,8957.0,7028.0,44.1249370891,0.064977064548,5.81316127878,19.1288499726,19.1179487732,-32.2697658689,run_102,output//rmfs//1.rmf3,5.878138343328,B
8958,8958.0,7029.0,54.8905500193,3.6952339341,4.8392744245,29.6479778848,16.708063776000003,-27.3590419246,run_102,output//rmfs//1.rmf3,8.5345083586,B
8959,8959.0,1093.0,44.0687061826,3.69906956044,8.60605874474,11.7496555762,20.0139223012,-30.6051231134,run_102,output//rmfs//0.rmf3,12.30512830518,B
8960,8960.0,1094.0,44.1786698833,1.89665524942,2.71071102013,18.083454383,21.4878492308,-26.4268769172,run_102,output//rmfs//0.rmf3,4.60736626955,B
8961,8961.0,1095.0,48.9092659954,1.86383689469,2.39203612699,20.2196163996,24.433776574,-27.6102646134,run_102,output//rmfs//0.rmf3,4.255873021679999,B
8962,8962.0,1096.0,45.3986915467,2.67406328394,2.55511052425,18.5937011076,21.5758166309,-29.8702416286,run_102,output//rmfs//0.rmf3,5.22917380819,B
8963,8963.0,1097.0,57.2622930069,5.24968196813,8.41491068113,26.3994338719,17.198266485699996,-30.1285444588,run_102,output//rmfs//0.rmf3,13.66459264926,B
8964,8964.0,1098.0,43.2865576763,0.527021180864,5.13057979841,19.5429596584,18.0859970386,-32.3018836515,run_102,output//rmfs//0.rmf3,5.657600979274,B
8965,8965.0,1099.0,38.7723727174,2.02214758227,1.78511669275,19.9495059682,15.015602474300003,-25.9185830467,run_102,output//rmfs//0.rmf3,3.80726427502,B
8966,8966.0,1100.0,43.0104874834,1.20371557499,3.46909890483,24.9513890802,13.386283923300002,-30.8709629741,run_102,output//rmfs//0.rmf3,4.6728144798199995,B
8967,8967.0,1101.0,38.8395208081,4.51501021754,1.67291043349,19.796260548,12.855339609100003,-29.9257747508,run_102,output//rmfs//0.rmf3,6.187920651030001,B
8968,8968.0,1102.0,49.005395425,2.33163948647,2.53226199477,28.2751686351,15.866325308600004,-33.7682926388,run_102,output//rmfs//0.rmf3,4.863901481239999,B
8969,8969.0,1103.0,45.3506268595,3.67594865303,4.94978610734,19.9904908598,16.7344012394,-29.5023825055,run_102,output//rmfs//0.rmf3,8.62573476037,B
8970,8970.0,1104.0,43.9505948989,1.71272006778,1.78753771833,23.7199476982,16.730389414700003,-28.6241070435,run_102,output//rmfs//0.rmf3,3.50025778611,B
8971,8971.0,1105.0,46.13754469,1.79381648393,2.21353941196,24.8770570356,17.253131758400002,-32.6787046946,run_102,output//rmfs//0.rmf3,4.00735589589,B
8972,8972.0,1106.0,50.8747622589,1.96823381827,4.99962129887,23.8952291603,20.0116779814,-30.103850748,run_102,output//rmfs//0.rmf3,6.96785511714,B
8973,8973.0,1107.0,46.8701986812,3.28026816349,1.48842164321,28.1181557536,13.983353120899999,-29.7641255105,run_102,output//rmfs//0.rmf3,4.7686898067,B
8974,8974.0,1108.0,39.846261636,3.67809964061,4.0833130173,17.3821709801,14.702677998000002,-26.0180226279,run_102,output//rmfs//0.rmf3,7.76141265791,B
8975,8975.0,1109.0,45.1711700927,2.22318589317,3.53403798016,24.1872534468,15.226692772499998,-28.0796150071,run_102,output//rmfs//0.rmf3,5.75722387333,B
8976,8976.0,1110.0,34.4408634905,3.7569385807,3.11136351619,14.6087496013,12.963811792300003,-28.5037032135,run_102,output//rmfs//0.rmf3,6.86830209689,B
8977,8977.0,1111.0,32.5446262102,2.48763833973,1.3637173953,16.009467642,12.683802833200001,-28.1066160144,run_102,output//rmfs//0.rmf3,3.8513557350300003,B
8978,8978.0,1112.0,36.7190564356,0.0355526953846,2.71551526436,18.2373581646,15.730630311200002,-26.1663622955,run_102,output//rmfs//0.rmf3,2.7510679597446,B
8979,8979.0,1113.0,39.9926030627,1.91956002984,5.14765928151,14.3274950009,18.597888750400003,-24.4144056424,run_102,output//rmfs//0.rmf3,7.06721931135,B
8980,8980.0,1114.0,42.0431719894,2.5107671521,3.87809503169,23.5828190563,12.071490749299997,-31.9685278026,run_102,output//rmfs//0.rmf3,6.38886218379,B
8981,8981.0,1115.0,32.4372874487,1.72515346167,4.0586077199,14.1389037647,12.514622502499996,-25.0329839619,run_102,output//rmfs//0.rmf3,5.78376118157,B
