,MC_frame,rmf_frame_index,Total_Score,CR_rpb2.0,CR_rpb1.0,EV_sum,XLs_sum,XLs_psi_sum,traj,rmf3_file,CR_sum,half,cluster,frame_RMF3
3500,3500.0,2923.0,37.7765103559,0.000788021901002,2.77930587258,19.5738248822,15.422591579299997,-32.8799269004,run_101,output//rmfs//2.rmf3,2.780093894481002,A,-1,h1_run_101_3500.rmf3
3510,3510.0,2933.0,34.0173031286,0.278350218364,1.72363422065,19.3110037206,12.704314968999995,-32.1788960657,run_101,output//rmfs//2.rmf3,2.001984439014,A,-1,h1_run_101_3510.rmf3
3520,3520.0,2943.0,48.6787927841,6.00967127365,0.913719167019,23.5711546948,18.1842476487,-32.0796371101,run_101,output//rmfs//2.rmf3,6.923390440669,A,-1,h1_run_101_3520.rmf3
3530,3530.0,2953.0,35.6074906194,1.62177649834,1.54896268592,13.1049203473,19.331831087900003,-26.503639218,run_101,output//rmfs//2.rmf3,3.1707391842600003,A,-1,h1_run_101_3530.rmf3
3540,3540.0,2963.0,35.4804854763,0.453847548541,2.08253235185,18.9021941965,14.041911379399998,-31.1575070667,run_101,output//rmfs//2.rmf3,2.5363799003909997,A,-1,h1_run_101_3540.rmf3
3550,3550.0,2973.0,41.2408398419,0.53106630286,3.60961693118,23.2167898724,13.8833667354,-28.7464055088,run_101,output//rmfs//2.rmf3,4.14068323404,A,-1,h1_run_101_3550.rmf3
3560,3560.0,578.0,34.369630572,0.373107645022,3.05079770897,15.3762934768,15.569431741099997,-35.2518670233,run_101,output//rmfs//3.rmf3,3.4239053539919997,A,-1,h1_run_101_3560.rmf3
3570,3570.0,588.0,40.0329743534,5.4733996504,6.6688789485,14.9984127051,12.8922830494,-35.3296661409,run_101,output//rmfs//3.rmf3,12.142278598899999,A,-1,h1_run_101_3570.rmf3
3580,3580.0,598.0,43.8591213544,1.30100210351,4.89611766986,19.597511734,18.064489847,-31.7624772667,run_101,output//rmfs//3.rmf3,6.19711977337,A,-1,h1_run_101_3580.rmf3
3590,3590.0,608.0,28.7350224374,2.16374091939,2.04641806592,10.8420909983,13.6827724539,-31.3606160087,run_101,output//rmfs//3.rmf3,4.2101589853100005,A,-1,h1_run_101_3590.rmf3
