,MC_frame,CrossLinkingMassSpectrometryRestraint_Psi_0.01,CrossLinkingMassSpectrometryRestraint_Psi_0.1,XLs_satif
3240,3240.0,0.0124267530005,0.0580523622235,0.9090909090909091
3241,3241.0,0.0124267530005,0.0669244153725,0.9545454545454546
3242,3242.0,0.0124267530005,0.0644024446267,0.9545454545454546
3243,3243.0,0.0155594297061,0.0130777846474,0.9090909090909091
3244,3244.0,0.0155594297061,0.0130777846474,0.9545454545454546
3245,3245.0,0.0155594297061,0.0100327891937,0.9545454545454546
3246,3246.0,0.0155594297061,0.0148811675516,0.9090909090909091
3247,3247.0,0.0155594297061,0.0167402914324,0.9090909090909091
3248,3248.0,0.0155594297061,0.0337635069944,0.9545454545454546
3249,3249.0,0.0155594297061,0.0337635069944,0.9545454545454546
3250,3250.0,0.0155594297061,0.0287425714681,0.9545454545454546
3251,3251.0,0.0155594297061,0.0538271198889,0.9545454545454546
3252,3252.0,0.0155594297061,0.0501700120835,0.9090909090909091
3253,3253.0,0.0155594297061,0.0234399828622,0.9090909090909091
3254,3254.0,0.0155594297061,0.0621550351076,0.9545454545454546
3255,3255.0,0.0144225956789,0.176338406739,0.9545454545454546
3256,3256.0,0.0144225956789,0.0113775380253,0.9545454545454546
3257,3257.0,0.0144225956789,0.0361395043864,0.9545454545454546
3258,3258.0,0.0144225956789,0.0747367437832,0.9545454545454546
3259,3259.0,0.0144225956789,0.0541924880565,0.9090909090909091
3260,3260.0,0.0144225956789,0.0592912701607,0.9545454545454546
3261,3261.0,0.0144225956789,0.0374027721329,0.9545454545454546
3262,3262.0,0.0144225956789,0.0449944145162,0.9545454545454546
3263,3263.0,0.0144225956789,0.0477501288152,0.9545454545454546
3264,3264.0,0.0144225956789,0.0155696882201,0.9545454545454546
3265,3265.0,0.0144225956789,0.130342938544,0.9545454545454546
3266,3266.0,0.0144225956789,0.132492024433,0.9545454545454546
3267,3267.0,0.0144225956789,0.0433980095501,0.9545454545454546
3268,3268.0,0.0144225956789,0.0457446081991,0.9090909090909091
3269,3269.0,0.0144225956789,0.0267896847954,0.9545454545454546
3270,3270.0,0.0144225956789,0.0165779209801,0.9545454545454546
3271,3271.0,0.0144225956789,0.0209801472927,0.9545454545454546
3272,3272.0,0.0144225956789,0.0982397750707,0.9545454545454546
3273,3273.0,0.0140187370736,0.0201278811218,0.9090909090909091
3274,3274.0,0.0140187370736,0.0230758075655,0.9090909090909091
3275,3275.0,0.0140187370736,0.0221115664339,0.9545454545454546
3276,3276.0,0.0108081992164,0.0377625212894,0.9090909090909091
3277,3277.0,0.0108081992164,0.0676772644524,0.9090909090909091
3278,3278.0,0.0108081992164,0.0299502766498,0.9090909090909091
3279,3279.0,0.0108081992164,0.0777339274085,0.9090909090909091
3280,3280.0,0.0108081992164,0.0689718477284,0.9545454545454546
3281,3281.0,0.0108081992164,0.0426302195243,0.9545454545454546
3282,3282.0,0.0108081992164,0.0338406619798,0.9545454545454546
3283,3283.0,0.0139264823091,0.0787244357121,0.9545454545454546
3284,3284.0,0.0139264823091,0.058111703002,0.9545454545454546
3285,3285.0,0.0139264823091,0.105058880144,0.9545454545454546
3286,3286.0,0.0139264823091,0.0752915740073,0.9545454545454546
3287,3287.0,0.0139264823091,0.0159444540687,0.9545454545454546
3288,3288.0,0.0139264823091,0.0503167017166,0.9545454545454546
3289,3289.0,0.0108193465849,0.0219579145991,0.9545454545454546
3290,3290.0,0.0108193465849,0.0490733056143,0.9545454545454546
3291,3291.0,0.0108193465849,0.0159248216983,0.9090909090909091
3292,3292.0,0.0108193465849,0.143996218841,0.9545454545454546
3293,3293.0,0.0108193465849,0.0709688277239,0.9545454545454546
3294,3294.0,0.0108193465849,0.0725132161554,0.9545454545454546
3295,3295.0,0.0108193465849,0.0577412898174,0.9545454545454546
3296,3296.0,0.0108193465849,0.124733829584,0.9545454545454546
3297,3297.0,0.0108193465849,0.0248774814941,0.9545454545454546
3298,3298.0,0.0108193465849,0.0733023705313,0.9545454545454546
3299,3299.0,0.0108193465849,0.0377598479918,0.9545454545454546
3300,3300.0,0.0104857219492,0.0359385205314,0.9545454545454546
3301,3301.0,0.0104857219492,0.0447658723383,0.9545454545454546
3302,3302.0,0.0104857219492,0.0651937810334,0.9545454545454546
3303,3303.0,0.0104857219492,0.0257015445725,0.9545454545454546
3304,3304.0,0.0104857219492,0.0425805398051,0.9545454545454546
3305,3305.0,0.0104857219492,0.041013834717,0.9545454545454546
3306,3306.0,0.0104857219492,0.0556945478641,0.9545454545454546
3307,3307.0,0.0104857219492,0.107080973287,0.9545454545454546
3308,3308.0,0.0104857219492,0.0913529641405,0.9545454545454546
3309,3309.0,0.012334661571,0.132755168698,0.9545454545454546
3310,3310.0,0.012334661571,0.0706591424727,0.9545454545454546
3311,3311.0,0.0130871159687,0.029493156627,0.9545454545454546
3312,3312.0,0.0130871159687,0.0258504751368,0.9545454545454546
3313,3313.0,0.0130871159687,0.0367579310228,0.9545454545454546
3314,3314.0,0.0130871159687,0.0337004720806,0.9545454545454546
3315,3315.0,0.0252806203616,0.0778413106965,0.9545454545454546
3316,3316.0,0.0100044580786,0.0666313277216,0.9090909090909091
3317,3317.0,0.0100044580786,0.044606747674,0.9545454545454546
3318,3318.0,0.0100044580786,0.0441573381299,0.9545454545454546
3319,3319.0,0.0150469671278,0.0441573381299,0.9545454545454546
3320,3320.0,0.0150469671278,0.0441573381299,0.9545454545454546
3321,3321.0,0.0150469671278,0.031633676329,0.9545454545454546
3322,3322.0,0.0150469671278,0.031633676329,0.9545454545454546
