,MC_frame,rmf_frame_index,Total_Score,CR_rpb2.0,CR_rpb1.0,EV_sum,XLs_sum,XLs_psi_sum,traj,rmf3_file,CR_sum,half
3250,3250.0,448.0,44.0982950787,0.766299760479,3.68431332317,20.9644449313,18.683237063700002,-30.8498573641,run_101,output//rmfs//3.rmf3,4.450613083649,A
3251,3251.0,449.0,36.7883769411,0.658873334823,1.15460035865,15.9444041767,19.030499070900003,-28.3402650554,run_101,output//rmfs//3.rmf3,1.813473693473,A
3252,3252.0,450.0,43.7847851395,4.98775957013,4.72005803691,16.1296938521,17.947273680300004,-28.6217048473,run_101,output//rmfs//3.rmf3,9.707817607039999,A
3253,3253.0,451.0,38.1099098527,0.352553525142,3.29446401389,16.3123601032,18.1505322104,-31.6656018304,run_101,output//rmfs//3.rmf3,3.647017539032,A
3254,3254.0,452.0,36.5334275258,0.0,6.15643915058,17.872461439,12.504526936199998,-27.7648474443,run_101,output//rmfs//3.rmf3,6.15643915058,A
3255,3255.0,453.0,41.5221696957,1.83610694605,1.07789493229,23.6264904264,14.981677390999998,-23.8972380895,run_101,output//rmfs//3.rmf3,2.9140018783399997,A
3256,3256.0,454.0,36.5778111323,2.10375684227,3.88146029208,18.6764869064,11.916107091499995,-34.8602934951,run_101,output//rmfs//3.rmf3,5.98521713435,A
3257,3257.0,455.0,34.0316960614,4.94982871,0.936145654132,15.8409495399,12.304772157400002,-30.2373114619,run_101,output//rmfs//3.rmf3,5.885974364132,A
3258,3258.0,456.0,42.5803742326,0.0,1.87607317856,24.6485816291,16.055719424999996,-27.3309703239,run_101,output//rmfs//3.rmf3,1.87607317856,A
3259,3259.0,457.0,44.0602412968,2.62127546233,1.49410539182,21.0529435996,18.891916843,-28.616688539,run_101,output//rmfs//3.rmf3,4.11538085415,A
3260,3260.0,458.0,48.8255176504,6.3478703286,1.67983096762,21.6217708712,19.176045483,-28.257009426,run_101,output//rmfs//3.rmf3,8.02770129622,A
3261,3261.0,459.0,39.2093594062,2.31579943264,4.03054802359,16.6460714827,16.216940467400004,-30.0998784558,run_101,output//rmfs//3.rmf3,6.346347456229999,A
3262,3262.0,460.0,35.3803768447,2.02848970121,1.2070910889,18.9690253846,13.175770670099997,-29.3607043065,run_101,output//rmfs//3.rmf3,3.2355807901099998,A
3263,3263.0,461.0,47.5713061455,3.48809144038,2.50682687916,28.4695707877,13.106817038299997,-29.1229306888,run_101,output//rmfs//3.rmf3,5.99491831954,A
3264,3264.0,462.0,43.5140326457,4.461185843,4.26552398415,21.9009944424,12.886328376200005,-33.6055539024,run_101,output//rmfs//3.rmf3,8.72670982715,A
3265,3265.0,463.0,55.8049472658,1.99177827685,7.11352344179,28.824218322,17.875427225099997,-25.1061818839,run_101,output//rmfs//3.rmf3,9.10530171864,A
3266,3266.0,464.0,51.3712448217,4.08961525636,5.01544184712,26.0743465878,16.1918411304,-25.0407679447,run_101,output//rmfs//3.rmf3,9.10505710348,A
3267,3267.0,465.0,46.7836832412,6.77631836608,2.69870048047,21.4703054398,15.838358954900002,-29.5052034387,run_101,output//rmfs//3.rmf3,9.47501884655,A
3268,3268.0,466.0,49.7711635392,2.89555588602,5.55738205829,21.7942408937,19.523984701299998,-29.2945620225,run_101,output//rmfs//3.rmf3,8.45293794431,A
3269,3269.0,467.0,39.2775386716,1.67001360956,1.22272968776,16.6513507457,19.733444628600004,-31.4347900764,run_101,output//rmfs//3.rmf3,2.89274329732,A
3270,3270.0,468.0,40.8820548739,6.24190778257,3.70321260184,15.4615992945,15.475335195,-33.3545707529,run_101,output//rmfs//3.rmf3,9.94512038441,A
3271,3271.0,469.0,50.3139213468,4.32845233548,8.03751779378,22.7442396001,15.203711617400003,-32.4125512531,run_101,output//rmfs//3.rmf3,12.365970129259999,A
3272,3272.0,470.0,43.5271840161,2.77495850176,4.55965219648,18.3653964657,17.8271768522,-26.2372130481,run_101,output//rmfs//3.rmf3,7.334610698240001,A
3273,3273.0,471.0,38.062053343,1.81640531573,0.939129823828,21.1799247131,14.126593490300003,-32.6920391455,run_101,output//rmfs//3.rmf3,2.755535139558,A
3274,3274.0,472.0,44.8850932816,1.53247198448,1.10512529179,24.6172558929,17.630240112499997,-32.1453239342,run_101,output//rmfs//3.rmf3,2.63759727627,A
3275,3275.0,473.0,36.529510467,1.12527834515,1.26288757782,21.7442140123,12.3971305317,-32.3160596844,run_101,output//rmfs//3.rmf3,2.38816592297,A
3276,3276.0,474.0,33.158375806,2.19773630279,4.0740766909,11.71404997,15.1725128424,-31.2155536587,run_101,output//rmfs//3.rmf3,6.27181299369,A
3277,3277.0,475.0,42.356919063,0.860316269091,2.44431547238,22.217462514,16.834824807599997,-28.8818209181,run_101,output//rmfs//3.rmf3,3.304631741471,A
3278,3278.0,476.0,42.5252751208,1.63937563426,4.57616854824,18.9747147658,17.335016172499998,-32.1426678544,run_101,output//rmfs//3.rmf3,6.2155441825,A
3279,3279.0,477.0,44.3321222206,0.82836611566,8.87419335238,16.1061842582,18.5233784943,-28.3276548677,run_101,output//rmfs//3.rmf3,9.70255946804,A
3280,3280.0,478.0,36.7331594161,1.33647020766,2.59492092269,18.6777932154,14.1239750702,-28.8060284311,run_101,output//rmfs//3.rmf3,3.9313911303499998,A
3281,3281.0,479.0,33.5171403734,5.75063186503,1.07842347089,16.3939077189,10.2941773186,-30.7305685795,run_101,output//rmfs//3.rmf3,6.82905533592,A
3282,3282.0,480.0,37.25295933,6.37666054401,1.46292151841,19.1803331462,10.233044121400003,-31.6541697143,run_101,output//rmfs//3.rmf3,7.83958206242,A
